Connecting to host 10.0.0.2, port 8
[  7] local 10.0.0.8 port 35510 connected to 10.0.0.2 port 8
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]  85.00-86.00  sec  7.50 MBytes  62.9 Mbits/sec   30   96.2 KBytes       
[  7]  86.00-87.00  sec  10.0 MBytes  83.9 Mbits/sec   18   82.0 KBytes       
[  7]  87.00-88.00  sec  6.25 MBytes  52.4 Mbits/sec    1    113 KBytes       
[  7]  88.00-89.00  sec  7.50 MBytes  62.9 Mbits/sec   17    110 KBytes       
[  7]  89.00-90.00  sec  7.50 MBytes  62.9 Mbits/sec   18    107 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  7]   0.00-90.00  sec  1020 MBytes  95.0 Mbits/sec  7264             sender
[  7]   0.00-90.58  sec  1015 MBytes  94.0 Mbits/sec                  receiver

iperf Done.
